R1-1;Teo;Romano;0309-7611706;341/4696394;Via Nizza, 164;Bergamo;SIE Corp.;teo.romano@microcom.it;
R1-2;Filippo;Gay;0616-9726166;334/8372377;Viale Roma, 24;Udine;Bit Bit S.S.;filippo.gay@arianna.it;
R1-3;Anacleto;Romano;0641-2669791;311/3506414;Via delle Begonie, 243;Domodossola;Future S.a.S.;anacleto.romano@libero.it;
R1-4;Fabrizio;Ugo;0587-6545881;314/8529795;Via Petitti, 51;Bergamo;ArpaNet S.a.S.;fabrizio.ugo@zipper.it;
R1-5;Marco;Armando;0633-8216109;310/7307202;Via Torino, 130;Forlimpopoli;CSI Corp.;marco.armando@hotmail.com;
R1-6;Andrea;Mitili;0191-5979240;345/6362517;Corso Brescia, 353;Pianezza;Itoa s.r.l.;andrea.marin@lycos.it;
R1-7;Gina;Armando;0503-1523096;317/9119179;Viale Roma, 217;Rieti;CSI Inc.;gina.armando@microcom.it;
R1-8;Mirko;Marin;0709-6203264;314/4369868;Via Lemani, 302;Ancona;Overflow Inc.;mirko.marin@arianna.it;
R1-9;Filippo;Armando;0811-8365727;347/7725637;Via Petitti, 299;Modena;Bit Bit Ass.;filippo.armando@info.it;
R1-10;Fabrizio;Marin;075-6750649;331/5980327;Via Saluzzo, 160;Udine;Dylog Inc.;fabrizio.marin@lycos.it;
R1-11;Roberto;Gay;0495-846405;319/6618637;Via Petitti, 314;Roma;CSI S.a.S.;roberto.gay@info.it;
R1-12;Alfredo;Moi;059-546257;327/3216890;Via Ormea, 348;Ancona;Blackout Ass.;alfredo.moi@microcom.it;
R1-13;Teo;Tetti;0553-9712139;346/1723602;Via delle Begonie, 272;Verona;TopIX Inc.;teo.tetti@yahoo.it;
R1-14;Roberto;Rossi;0789-308469;315/493186;Via Vioux, 135;Ancona;Art S.S.;roberto.rossi@f-society.it;
R1-15;Anacleto;Attanasio;029-660115;322/5909387;Viale Roma, 210;Milano;Blueprint S.S.;anacleto.attanasio@f-society.it;
